0,1,2,3,4,5,6,7,8,9,10
cat food,whole milk,chocolate,,,,,,,,
bottled beer,specialty cheese,,,,,,,,,
sausage,specialty bar,,,,,,,,,
yogurt,red/blush wine,margarine,,,,,,,,
frankfurter,dishes,hygiene articles,,,,,,,,
beef,waffles,,,,,,,,,
canned beer,dishes,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
specialty bar,soda,,,,,,,,,
turkey,domestic eggs,,,,,,,,,
other vegetables,spread cheese,,,,,,,,,
sliced cheese,bottled water,,,,,,,,,
spread cheese,specialty chocolate,,,,,,,,,
white bread,salty snack,,,,,,,,,
salty snack,pip fruit,,,,,,,,,
other vegetables,bottled water,baking powder,,,,,,,,
whole milk,pastry,seasonal products,berries,long life bakery product,yogurt,coffee,,,,
turkey,ham,whole milk,citrus fruit,pastry,soda,,,,,
soda,pip fruit,pasta,,,,,,,,
UHT-milk,specialty vegetables,,,,,,,,,
long life bakery product,rolls/buns,,,,,,,,,
pet care,spread cheese,,,,,,,,,
meat,specialty cheese,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
finished products,frozen vegetables,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
salty snack,cat food,frozen vegetables,,,,,,,,
butter,cleaner,red/blush wine,,,,,,,,
citrus fruit,waffles,,,,,,,,,
berries,UHT-milk,cream cheese ,,,,,,,,
hamburger meat,other vegetables,hygiene articles,popcorn,,,,,,,
beef,other vegetables,bottled water,,,,,,,,
liquor,cream,coffee,,,,,,,,
newspapers,domestic eggs,,,,,,,,,
pip fruit,misc. beverages,,,,,,,,,
salty snack,waffles,specialty cheese,,,,,,,,
soda,whole milk,,,,,,,,,
curd,sausage,,,,,,,,,
berries,pork,whole milk,frozen vegetables,domestic eggs,,,,,,
ham,spread cheese,,,,,,,,,
bottled beer,dessert,cling film/bags,,,,,,,,
detergent,ice cream,hamburger meat,soda,sugar,,,,,,
yogurt,dental care,,,,,,,,,
herbs,yogurt,,,,,,,,,
sugar,whipped/sour cream,,,,,,,,,
beef,grapes,,,,,,,,,
tropical fruit,soda,,,,,,,,,
citrus fruit,butter,UHT-milk,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
grapes,other vegetables,,,,,,,,,
rolls/buns,baking powder,,,,,,,,,
turkey,chewing gum,,,,,,,,,
whipped/sour cream,cream cheese ,,,,,,,,,
sauces,misc. beverages,,,,,,,,,
margarine,frozen vegetables,baking powder,,,,,,,,
root vegetables,coffee,,,,,,,,,
rolls/buns,dessert,bottled water,chocolate,,,,,,,
whole milk,whole milk,canned beer,Instant food products,,,,,,,
whole milk,flower (seeds),,,,,,,,,
white bread,curd,bottled water,,,,,,,,
whipped/sour cream,onions,other vegetables,yogurt,rolls/buns,,,,,,
candy,tropical fruit,rolls/buns,,,,,,,,
chicken,whole milk,,,,,,,,,
domestic eggs,bottled water,,,,,,,,,
whole milk,beverages,frozen fruits,fruit/vegetable juice,,,,,,,
canned beer,newspapers,shopping bags,,,,,,,,
soda,butter,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
bottled beer,yogurt,soda,,,,,,,,
frankfurter,long life bakery product,,,,,,,,,
beef,other vegetables,,,,,,,,,
other vegetables,margarine,other vegetables,,,,,,,,
misc. beverages,frozen meals,,,,,,,,,
UHT-milk,brown bread,whole milk,ice cream,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
coffee,curd cheese,,,,,,,,,
long life bakery product,brown bread,,,,,,,,,
whole milk,light bulbs,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
dental care,soda,,,,,,,,,
yogurt,tropical fruit,,,,,,,,,
hard cheese,whole milk,,,,,,,,,
frankfurter,whole milk,other vegetables,,,,,,,,
newspapers,soda,,,,,,,,,
pip fruit,specialty fat,,,,,,,,,
frankfurter,citrus fruit,other vegetables,condensed milk,,,,,,,
whole milk,cream cheese ,semi-finished bread,,,,,,,,
artif. sweetener,sugar,,,,,,,,,
hygiene articles,other vegetables,,,,,,,,,
whole milk,salty snack,,,,,,,,,
frankfurter,frankfurter,citrus fruit,semi-finished bread,dishes,whipped/sour cream,,,,,
whole milk,citrus fruit,napkins,,,,,,,,
whole milk,other vegetables,yogurt,newspapers,bottled water,pet care,,,,,
soda,curd,,,,,,,,,
onions,soda,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
whipped/sour cream,chewing gum,,,,,,,,,
other vegetables,whole milk,artif. sweetener,,,,,,,,
soda,rolls/buns,,,,,,,,,
soda,root vegetables,,,,,,,,,
butter,other vegetables,yogurt,,,,,,,,
other vegetables,dishes,,,,,,,,,
long life bakery product,yogurt,,,,,,,,,
pip fruit,frozen fish,,,,,,,,,
butter,rolls/buns,,,,,,,,,
brown bread,yogurt,,,,,,,,,
bottled water,domestic eggs,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
chicken,shopping bags,,,,,,,,,
salty snack,rolls/buns,,,,,,,,,
whole milk,long life bakery product,,,,,,,,,
sugar,shopping bags,,,,,,,,,
chocolate,other vegetables,,,,,,,,,
salty snack,chocolate marshmallow,,,,,,,,,
tropical fruit,whole milk,long life bakery product,,,,,,,,
citrus fruit,dessert,,,,,,,,,
beef,other vegetables,,,,,,,,,
ice cream,onions,,,,,,,,,
beef,specialty chocolate,,,,,,,,,
brown bread,brown bread,,,,,,,,,
butter,tropical fruit,whole milk,napkins,,,,,,,
tropical fruit,curd,,,,,,,,,
rolls/buns,cream cheese ,,,,,,,,,
yogurt,coffee,,,,,,,,,
misc. beverages,whipped/sour cream,pastry,,,,,,,,
sausage,specialty bar,,,,,,,,,
chicken,brown bread,,,,,,,,,
whole milk,butter,newspapers,chewing gum,,,,,,,
tropical fruit,cake bar,soda,cat food,,,,,,,
sausage,berries,soda,yogurt,,,,,,,
bottled beer,butter milk,,,,,,,,,
butter,brown bread,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
bottled water,frozen fish,,,,,,,,,
newspapers,beverages,beef,chocolate,kitchen towels,,,,,,
beef,pastry,curd,,,,,,,,
other vegetables,beef,,,,,,,,,
root vegetables,white bread,meat spreads,,,,,,,,
zwieback,citrus fruit,,,,,,,,,
yogurt,butter,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
shopping bags,napkins,,,,,,,,,
pastry,soda,detergent,,,,,,,,
bottled water,yogurt,,,,,,,,,
canned beer,citrus fruit,rolls/buns,condensed milk,skin care,,,,,,
butter,flour,fruit/vegetable juice,fruit/vegetable juice,,,,,,,
coffee,brown bread,,,,,,,,,
packaged fruit/vegetables,chewing gum,ham,condensed milk,soda,,,,,,
whole milk,root vegetables,,,,,,,,,
onions,frozen vegetables,,,,,,,,,
butter milk,whole milk,,,,,,,,,
liquor,butter milk,,,,,,,,,
other vegetables,frankfurter,newspapers,whole milk,pastry,,,,,,
cream cheese ,sausage,whole milk,pip fruit,,,,,,,
rolls/buns,other vegetables,pastry,,,,,,,,
chicken,domestic eggs,,,,,,,,,
whole milk,bottled water,,,,,,,,,
beverages,domestic eggs,soda,butter milk,,,,,,,
pastry,whole milk,,,,,,,,,
beef,soda,,,,,,,,,
ice cream,butter,,,,,,,,,
waffles,ketchup,candy,,,,,,,,
other vegetables,chicken,,,,,,,,,
whole milk,margarine,,,,,,,,,
rolls/buns,specialty cheese,domestic eggs,,,,,,,,
candy,berries,mustard,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
frozen meals,other vegetables,,,,,,,,,
root vegetables,coffee,shopping bags,specialty bar,,,,,,,
white wine,canned vegetables,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
bottled water,domestic eggs,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
canned beer,specialty vegetables,long life bakery product,,,,,,,,
frankfurter,hygiene articles,bottled beer,,,,,,,,
root vegetables,soda,,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
whole milk,grapes,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
tropical fruit,butter,frozen fruits,,,,,,,,
chicken,male cosmetics,,,,,,,,,
hamburger meat,pip fruit,,,,,,,,,
sugar,other vegetables,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
brown bread,hair spray,,,,,,,,,
roll products ,soda,other vegetables,,,,,,,,
cream cheese ,shopping bags,,,,,,,,,
brown bread,dish cleaner,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
dishes,dessert,,,,,,,,,
zwieback,frozen vegetables,,,,,,,,,
cat food,whole milk,whole milk,,,,,,,,
butter milk,shopping bags,baking powder,,,,,,,,
sausage,pastry,,,,,,,,,
citrus fruit,whole milk,rolls/buns,liquor,tropical fruit,,,,,,
pastry,pastry,,,,,,,,,
salt,seasonal products,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
butter milk,whipped/sour cream,,,,,,,,,
specialty chocolate,pastry,,,,,,,,,
yogurt,roll products ,,,,,,,,,
ham,pastry,whole milk,specialty bar,tropical fruit,hard cheese,yogurt,candy,,,
frankfurter,brown bread,,,,,,,,,
frozen fish,bottled beer,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
yogurt,berries,butter,pastry,,,,,,,
pork,pip fruit,,,,,,,,,
coffee,sliced cheese,whipped/sour cream,butter milk,,,,,,,
meat,rolls/buns,root vegetables,,,,,,,,
berries,butter,,,,,,,,,
ham,other vegetables,,,,,,,,,
berries,curd,,,,,,,,,
berries,soap,,,,,,,,,
UHT-milk,curd,,,,,,,,,
whole milk,pastry,,,,,,,,,
butter milk,kitchen towels,,,,,,,,,
other vegetables,oil,,,,,,,,,
misc. beverages,packaged fruit/vegetables,,,,,,,,,
yogurt,bathroom cleaner,,,,,,,,,
butter,butter milk,canned beer,UHT-milk,brown bread,baking powder,long life bakery product,,,,
pip fruit,other vegetables,,,,,,,,,
pip fruit,butter,,,,,,,,,
brown bread,yogurt,,,,,,,,,
whole milk,whole milk,,,,,,,,,
tropical fruit,rolls/buns,zwieback,,,,,,,,
whole milk,beef,beverages,yogurt,,,,,,,
tropical fruit,cat food,,,,,,,,,
canned beer,sugar,rum,,,,,,,,
frankfurter,yogurt,,,,,,,,,
soda,soda,canned beer,,,,,,,,
whole milk,shopping bags,,,,,,,,,
soft cheese,bottled beer,,,,,,,,,
citrus fruit,grapes,,,,,,,,,
organic sausage,processed cheese,oil,,,,,,,,
cream,yogurt,,,,,,,,,
sausage,root vegetables,,,,,,,,,
bottled water,seasonal products,,,,,,,,,
frankfurter,root vegetables,pastry,napkins,long life bakery product,,,,,,
frozen vegetables,other vegetables,,,,,,,,,
bottled water,other vegetables,pastry,rolls/buns,domestic eggs,,,,,,
pet care,chocolate,,,,,,,,,
newspapers,root vegetables,,,,,,,,,
other vegetables,pickled vegetables,hard cheese,,,,,,,,
yogurt,yogurt,,,,,,,,,
brown bread,soda,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
whole milk,salty snack,,,,,,,,,
whole milk,specialty bar,,,,,,,,,
bags,yogurt,soda,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
chocolate,soda,,,,,,,,,
frankfurter,pastry,salt,,,,,,,,
pork,curd,,,,,,,,,
citrus fruit,flour,,,,,,,,,
rolls/buns,curd,,,,,,,,,
rolls/buns,cat food,beverages,,,,,,,,
ham,yogurt,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,
citrus fruit,soda,butter,bottled water,bottled beer,,,,,,
salt,ice cream,yogurt,canned beer,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
frozen fish,whole milk,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
domestic eggs,yogurt,canned beer,,,,,,,,
beef,root vegetables,,,,,,,,,
soda,UHT-milk,pastry,domestic eggs,,,,,,,
pot plants,grapes,brown bread,other vegetables,kitchen towels,,,,,,
citrus fruit,other vegetables,,,,,,,,,
onions,ice cream,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
soda,bottled beer,,,,,,,,,
beef,root vegetables,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
domestic eggs,frozen vegetables,,,,,,,,,
newspapers,yogurt,semi-finished bread,,,,,,,,
sauces,shopping bags,,,,,,,,,
onions,long life bakery product,,,,,,,,,
citrus fruit,rolls/buns,napkins,soda,,,,,,,
tropical fruit,pip fruit,whole milk,other vegetables,,,,,,,
pip fruit,napkins,cat food,,,,,,,,
frozen vegetables,sausage,whole milk,frozen vegetables,rolls/buns,other vegetables,oil,frozen fish,baking powder,,
frankfurter,domestic eggs,,,,,,,,,
chicken,cream cheese ,citrus fruit,chicken,pet care,napkins,condensed milk,specialty chocolate,,,
packaged fruit/vegetables,pastry,,,,,,,,,
beef,berries,,,,,,,,,
salty snack,rolls/buns,,,,,,,,,
pip fruit,whole milk,soda,,,,,,,,
onions,frankfurter,cream cheese ,oil,,,,,,,
whole milk,tropical fruit,,,,,,,,,
whole milk,chocolate,,,,,,,,,
fruit/vegetable juice,pot plants,,,,,,,,,
brown bread,tropical fruit,rolls/buns,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
ham,white wine,shopping bags,,,,,,,,
liquor,specialty chocolate,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
oil,yogurt,,,,,,,,,
yogurt,frozen vegetables,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
specialty bar,chicken,,,,,,,,,
fruit/vegetable juice,newspapers,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
beef,waffles,,,,,,,,,
whole milk,citrus fruit,butter,dental care,,,,,,,
rolls/buns,white bread,,,,,,,,,
whole milk,chocolate,,,,,,,,,
citrus fruit,candy,,,,,,,,,
frozen potato products,pastry,,,,,,,,,
beef,rolls/buns,,,,,,,,,
sliced cheese,pasta,,,,,,,,,
pip fruit,soda,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
citrus fruit,newspapers,,,,,,,,,
canned fish,root vegetables,,,,,,,,,
chocolate marshmallow,specialty chocolate,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
citrus fruit,flour,,,,,,,,,
rolls/buns,citrus fruit,fruit/vegetable juice,,,,,,,,
pork,bottled water,,,,,,,,,
soft cheese,long life bakery product,,,,,,,,,
berries,rolls/buns,,,,,,,,,
pork,whole milk,other vegetables,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
bottled water,hard cheese,,,,,,,,,
citrus fruit,curd,specialty chocolate,canned beer,,,,,,,
other vegetables,other vegetables,liquor (appetizer),specialty bar,candles,red/blush wine,,,,,
canned fish,curd,,,,,,,,,
canned fish,cream cheese ,,,,,,,,,
specialty vegetables,yogurt,,,,,,,,,
butter,fruit/vegetable juice,soda,,,,,,,,
pastry,shopping bags,sugar,,,,,,,,
citrus fruit,hard cheese,canned fish,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
meat,coffee,,,,,,,,,
shopping bags,canned beer,,,,,,,,,
pastry,vinegar,salty snack,,,,,,,,
sausage,soda,,,,,,,,,
root vegetables,napkins,,,,,,,,,
cat food,rolls/buns,,,,,,,,,
sausage,root vegetables,,,,,,,,,
waffles,beverages,waffles,curd,,,,,,,
sausage,pip fruit,bottled water,,,,,,,,
tropical fruit,other vegetables,soft cheese,,,,,,,,
pastry,other vegetables,,,,,,,,,
butter milk,shopping bags,,,,,,,,,
root vegetables,soda,,,,,,,,,
ice cream,whipped/sour cream,,,,,,,,,
specialty chocolate,liquor,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
yogurt,other vegetables,red/blush wine,domestic eggs,,,,,,,
citrus fruit,baking powder,,,,,,,,,
chicken,chicken,salt,,,,,,,,
frankfurter,packaged fruit/vegetables,,,,,,,,,
organic sausage,bottled water,,,,,,,,,
dessert,soda,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
newspapers,white bread,,,,,,,,,
soft cheese,flower (seeds),,,,,,,,,
hamburger meat,sugar,,,,,,,,,
bottled beer,pork,,,,,,,,,
sausage,hamburger meat,pork,chewing gum,whole milk,soda,soft cheese,yogurt,,,
semi-finished bread,cereals,,,,,,,,,
root vegetables,canned beer,,,,,,,,,
chicken,beef,white bread,semi-finished bread,,,,,,,
herbs,margarine,rolls/buns,chocolate,,,,,,,
misc. beverages,root vegetables,frozen vegetables,rolls/buns,,,,,,,
whole milk,newspapers,frozen vegetables,,,,,,,,
whole milk,pork,,,,,,,,,
beef,other vegetables,,,,,,,,,
rolls/buns,tropical fruit,salty snack,specialty bar,,,,,,,
pork,cookware,root vegetables,canned beer,whole milk,bottled water,oil,whole milk,,,
chicken,ice cream,bottled water,,,,,,,,
pasta,pot plants,liquor,,,,,,,,
bottled water,pastry,,,,,,,,,
yogurt,yogurt,cream cheese ,,,,,,,,
sausage,pastry,bottled beer,UHT-milk,,,,,,,
fruit/vegetable juice,detergent,yogurt,snack products,,,,,,,
whole milk,bottled water,,,,,,,,,
hamburger meat,dog food,,,,,,,,,
red/blush wine,frozen fish,,,,,,,,,
canned beer,whole milk,,,,,,,,,
zwieback,salty snack,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
butter milk,berries,citrus fruit,napkins,,,,,,,
other vegetables,chocolate,,,,,,,,,
whole milk,soda,root vegetables,pastry,specialty fat,bottled water,napkins,tropical fruit,,,
frozen potato products,rolls/buns,,,,,,,,,
domestic eggs,specialty bar,,,,,,,,,
pastry,shopping bags,,,,,,,,,
cream cheese ,other vegetables,,,,,,,,,
frankfurter,pork,,,,,,,,,
whole milk,citrus fruit,,,,,,,,,
beef,pasta,,,,,,,,,
bottled water,processed cheese,packaged fruit/vegetables,yogurt,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
yogurt,butter,whole milk,,,,,,,,
bottled water,other vegetables,root vegetables,rolls/buns,soda,sugar,,,,,
other vegetables,whole milk,,,,,,,,,
ham,instant coffee,margarine,beef,long life bakery product,whole milk,house keeping products,semi-finished bread,,,
whole milk,shopping bags,,,,,,,,,
candy,frozen meals,,,,,,,,,
bottled beer,bottled water,whipped/sour cream,sugar,,,,,,,
hamburger meat,cat food,,,,,,,,,
frozen meals,other vegetables,,,,,,,,,
pip fruit,hard cheese,,,,,,,,,
long life bakery product,butter milk,,,,,,,,,
frankfurter,white wine,,,,,,,,,
newspapers,other vegetables,shopping bags,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
soda,ham,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
hard cheese,butter milk,long life bakery product,,,,,,,,
root vegetables,curd,,,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
canned beer,chicken,other vegetables,,,,,,,,
frankfurter,soda,chocolate,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
sweet spreads,bottled beer,,,,,,,,,
pork,canned fish,zwieback,frozen vegetables,,,,,,,
curd,ice cream,,,,,,,,,
soda,frozen dessert,canned fish,,,,,,,,
bottled water,butter milk,,,,,,,,,
root vegetables,other vegetables,specialty chocolate,,,,,,,,
soda,liquor (appetizer),,,,,,,,,
yogurt,root vegetables,,,,,,,,,
canned beer,flower (seeds),,,,,,,,,
yogurt,whole milk,,,,,,,,,
onions,root vegetables,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
other vegetables,bottled water,hard cheese,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
white bread,whipped/sour cream,frozen dessert,pastry,,,,,,,
chewing gum,ice cream,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
hamburger meat,whole milk,rolls/buns,yogurt,frozen vegetables,,,,,,
sausage,frozen vegetables,,,,,,,,,
frozen vegetables,other vegetables,,,,,,,,,
citrus fruit,cake bar,,,,,,,,,
beef,salt,,,,,,,,,
tropical fruit,specialty bar,whole milk,,,,,,,,
canned fruit,detergent,,,,,,,,,
sausage,brown bread,,,,,,,,,
yogurt,salty snack,,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
rolls/buns,coffee,,,,,,,,,
frozen vegetables,tropical fruit,,,,,,,,,
ham,domestic eggs,,,,,,,,,
root vegetables,male cosmetics,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
sausage,bottled beer,,,,,,,,,
hard cheese,mayonnaise,,,,,,,,,
soda,beef,,,,,,,,,
fish,specialty chocolate,,,,,,,,,
butter milk,semi-finished bread,,,,,,,,,
sausage,specialty chocolate,bottled water,baking powder,,,,,,,
tropical fruit,specialty cheese,,,,,,,,,
red/blush wine,pastry,,,,,,,,,
white bread,nuts/prunes,,,,,,,,,
canned beer,bottled beer,,,,,,,,,
specialty chocolate,sauces,,,,,,,,,
oil,other vegetables,,,,,,,,,
butter,sugar,,,,,,,,,
whipped/sour cream,beef,,,,,,,,,
whole milk,berries,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
whole milk,misc. beverages,pot plants,,,,,,,,
roll products ,rolls/buns,,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
other vegetables,tropical fruit,pastry,citrus fruit,curd,soda,whole milk,detergent,syrup,,
rolls/buns,candy,white bread,,,,,,,,
white bread,frozen vegetables,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
tropical fruit,pork,soda,onions,,,,,,,
chocolate,liquor,,,,,,,,,
grapes,pickled vegetables,,,,,,,,,
beverages,newspapers,,,,,,,,,
bottled water,frankfurter,curd,butter milk,,,,,,,
yogurt,butter milk,,,,,,,,,
specialty bar,roll products ,,,,,,,,,
root vegetables,semi-finished bread,canned beer,newspapers,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
soda,frozen meals,,,,,,,,,
spices,butter,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
liquor,chicken,,,,,,,,,
other vegetables,root vegetables,,,,,,,,,
newspapers,soups,,,,,,,,,
frozen vegetables,pot plants,domestic eggs,,,,,,,,
specialty chocolate,chewing gum,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
whole milk,domestic eggs,long life bakery product,,,,,,,,
sausage,baking powder,,,,,,,,,
butter,newspapers,,,,,,,,,
berries,whipped/sour cream,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
canned beer,dessert,frozen meals,,,,,,,,
whole milk,beef,citrus fruit,newspapers,bottled water,,,,,,
meat,pork,other vegetables,other vegetables,root vegetables,other vegetables,pip fruit,margarine,,,
frankfurter,specialty cheese,soft cheese,,,,,,,,
whole milk,flour,,,,,,,,,
rolls/buns,soda,,,,,,,,,
pastry,pip fruit,,,,,,,,,
soda,domestic eggs,artif. sweetener,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
pip fruit,rolls/buns,soda,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
whole milk,canned beer,,,,,,,,,
